id,word,frequency,pos
13713,threaten,3046130,96
13714,decker,3045974,96
13715,natl,3045963,96
13716,bait,3045309,96
13717,extern,3044128,84
13718,badges,3043626,92
13719,enron,3043168,96
13720,kitten,3042337,96
13721,codec,3042306,96
13722,broadcasts,3042285,96
13723,brides,3040987,92
13724,dent,3038522,96
13725,checksum,3037668,92
13726,stealing,3037278,100
13727,bullets,3035204,92
13728,emphasized,3034603,100
13729,glossy,3034017,84
13730,informations,3033985,92
13731,haired,3033276,100
13732,directional,3033263,84
13733,breeders,3032972,92
13734,alterations,3032813,92
13735,pablo,3032812,100
13736,lethal,3032805,84
13737,biographical,3032757,84
13738,confirms,3032657,92
13739,cavity,3031945,92
13740,molded,3031589,100
13741,vladimir,3031539,96
13742,ida,3031408,96
13743,probate,3030760,96
13744,terrestrial,3029469,84
13745,decals,3029244,92
13746,completes,3028510,100
13747,beams,3028135,92
13748,props,3027680,100
13749,incense,3027417,92
13750,formulated,3027314,100
13751,dough,3027233,92
13752,stool,3026646,92
13753,macs,3026360,92
13754,towing,3025970,100
13755,welch,3025962,96
13756,rosemary,3025474,96
13757,millionaire,3025325,96
13758,turquoise,3025245,96
13759,archival,3024584,96
13760,seismic,3024028,96
13761,exposures,3023429,96
13762,baccarat,3023427,96
13763,boone,3023330,96
13764,substituted,3022843,100
13765,horde,3022552,96
13766,paperwork,3021741,96
13767,mommy,3021698,96
13768,teenager,3021562,96
13769,nanny,3021561,96
13770,suburb,3021546,96
13771,hutchinson,3021456,96
13772,smokers,3021355,96
13773,cohort,3020634,96
13774,succession,3020143,92
13775,declining,3019301,100
13776,alliances,3019079,92
13777,sums,3018810,92
13778,lineup,3018203,92
13779,averaged,3017586,100
13780,hotspot,3017281,96
13781,bellevue,3017162,96
13782,glacier,3016497,96
13783,pueblo,3015772,96
13784,hj,3015528,96
13785,req,3015510,96
13786,rigorous,3015480,84
13787,gigabit,3014892,92
13788,worksheet,3014777,92
13789,allocate,3013476,96
13790,relieve,3012492,96
13791,aftermath,3012344,96
13792,roach,3012087,96
13793,clarion,3012062,92
13794,override,3011008,92
13795,angus,3010646,84
13796,enthusiastic,3010458,84
13797,lame,3010243,84
13798,continuum,3010028,96
13799,squeeze,3009222,96
13800,feng,3009102,96
13801,sar,3009034,96
13802,burgundy,3008865,96
13803,struggles,3008606,100
13804,pep,3008382,96
13805,farewell,3008091,96
13806,soho,3007983,96
13807,ashes,3007595,96
13808,vanguard,3007586,96
13809,nylons,3006848,96
13810,chipset,3006303,96
13811,natal,3006142,96
13812,locus,3006085,96
13813,msnbc,3005735,96
13814,hillary,3005624,96
13815,evenings,3004589,92
13816,misses,3002335,100
13817,troubles,3002258,100
13818,factual,3001796,84
13819,carisoprodol,3001256,84
13820,tutoring,3001167,92
13821,spectroscopy,3001079,92
13822,gemstone,3000946,92
13823,psc,3000848,96
13824,phonephone,3000770,96
13825,elton,3000228,96
13826,purity,3000227,92
13827,shaking,2999474,100
13828,unregistered,2997879,100
13829,witnessed,2997678,100
13830,cellar,2997648,96
13831,moto,2997425,96
13832,gonzalez,2996717,96
13833,friction,2996210,96
13834,prone,2994953,84
13835,valerie,2994892,96
13836,enclosures,2993232,92
13837,dior,2991787,96
13838,mer,2991634,96
13839,equitable,2991340,96
13840,fuse,2991171,96
13841,lobster,2991145,96
13842,pops,2990726,96
13843,osha,2990187,96
13844,judaism,2989842,96
13845,goldberg,2989758,96
13846,atlantis,2989498,96
13847,amid,2989475,85
13848,onions,2989025,92
13849,preteen,2988769,96
13850,bonding,2988561,100
13851,insurers,2988321,92
13852,prototypes,2988315,100
13853,corinthians,2987721,96
13854,crosses,2987211,92
13855,proactive,2986479,84
13856,issuer,2986282,92
13857,uncomfortable,2986073,84
13858,sylvia,2985605,96
13859,furnace,2985420,96
13860,sponsoring,2985164,96
13861,poisoning,2984982,92
13862,doubled,2984596,100
13863,malaysian,2984563,84
13864,clues,2983891,92
13865,inflammation,2983782,92
13866,rabbits,2982836,92
13867,icc,2982755,96
13868,transported,2982668,100
13869,crews,2982254,92
13870,easton,2981818,96
13871,goodwill,2981773,96
13872,sentencing,2981234,100
13873,bulldogs,2980542,100
13874,worthwhile,2980395,84
13875,ideology,2980258,92
13876,anxious,2979963,84
13877,tariffs,2979491,96
13878,norris,2979486,96
13879,ly,2979465,85
13880,cervical,2979433,96
13881,baptism,2978593,96
13882,cutlery,2978207,96
13883,overlooking,2978189,100
13884,tallahassee,2978181,96
13885,userpic,2977890,96
13886,knot,2977685,96
13887,attribution,2977596,96
13888,rad,2975827,96
13889,gut,2975648,96
13890,staffordshire,2975373,96
13891,factories,2975066,96
13892,acta,2974811,96
13893,swords,2974525,92
13894,advancing,2974387,100
13895,yep,2974086,96
13896,timed,2973997,100
13897,evolve,2973674,93
13898,yuan,2973485,96
13899,iec,2972811,96
13900,differs,2972708,96
13901,esa,2971262,96
13902,suspicious,2971198,84
13903,leased,2971192,100
13904,subscribed,2970945,100
13905,tate,2970770,96
13906,starters,2970138,96
13907,dartmouth,2969267,96
13908,brewing,2969201,96
13909,coop,2969187,96
13910,uml,2968771,96
13911,bur,2968423,96
13912,blossom,2967855,96
13913,scare,2967481,92
13914,confessions,2967064,92
13915,bergen,2966857,96
13916,lowered,2964755,100
13917,kris,2964693,96
13918,thief,2964256,92
13919,prisons,2964248,92
13920,pictured,2964062,100
13921,feminine,2963922,84
13922,sizeof,2963701,92
13923,grabbed,2963563,100
13924,rocking,2963438,100
13925,spi,2963199,96
13926,nichols,2963191,96
13927,regs,2961977,96
13928,blackwell,2961759,96
13929,fulfilled,2961524,100
13930,sweets,2961377,96
13931,nautical,2961363,84
13932,imprisonment,2961006,92
13933,employs,2960788,100
13934,gutenberg,2959995,96
13935,bubbles,2959843,96
13936,ashton,2959687,96
13937,pitcher,2958034,96
13938,shinedown,2957696,96
13939,standby,2957577,96
13940,judgments,2957553,96
13941,muscular,2956598,84
13942,motif,2956264,92
13943,illnesses,2955612,92
13944,plum,2954641,96
13945,saloon,2954459,96
13946,prophecy,2954410,96
13947,loft,2954155,96
13948,arin,2953678,96
13949,unisex,2953455,96
13950,historian,2952943,96
13951,wallets,2952774,92
13952,identifiable,2952449,84
13953,elm,2952327,96
13954,facsimile,2951333,92
13955,hurts,2951306,100
13956,ethanol,2950852,92
13957,cannabis,2950835,92
13958,folded,2950571,100
13959,rsvp,2950434,96
13960,sofia,2950031,96
13961,dynamically,2947149,86
13962,comprise,2946809,96
13963,grenadines,2946577,96
13964,lump,2946325,92
13965,constr,2946152,96
13966,disposed,2945460,100
13967,subtitle,2945277,92
13968,chestnut,2944502,92
13969,librarians,2943858,92
13970,engraved,2943471,100
13971,halt,2943073,92
13972,alta,2942672,96
13973,manson,2942538,96
13974,autocad,2942111,96
13975,pastoral,2941934,84
13976,unpaid,2941706,84
13977,ghosts,2941614,92
13978,powerbook,2941608,100
13979,doubts,2941435,100
13980,locality,2941063,92
13981,substantive,2940390,84
13982,bulletins,2940313,92
13983,worries,2940002,92
13984,hug,2939650,96
13985,rejects,2939565,100
13986,spear,2938393,96
13987,nigel,2938202,96
13988,referee,2937810,96
13989,transporter,2937673,96
13990,jolie,2936998,96
13991,swinger,2936623,96
13992,broadly,2936607,86
13993,ethereal,2936535,84
13994,crossroads,2936180,100
13995,aero,2935700,96
13996,constructing,2935535,100
13997,smoothly,2935183,86
13998,parsons,2935069,92
13999,bury,2935026,100
14000,infiniti,2934944,96
14001,blanc,2934762,96
14002,autonomy,2934694,96
14003,bounded,2933878,100
14004,ppl,2933861,96
14005,williamsburg,2933689,96
14006,insist,2933537,100
14007,birch,2933389,96
14008,supp,2932912,96
14009,slash,2932746,92
14010,snyder,2932722,92
14011,budgeting,2932339,92
14012,exercised,2931962,100
14013,backpacks,2931504,92
14014,detecting,2930676,100
14015,resale,2930287,96
14016,mikes,2929694,96
14017,howell,2928680,96
14018,digestive,2928609,100
14019,scalar,2928414,84
14020,entertain,2928388,96
14021,cinderella,2927881,92
14022,unresolved,2927218,84
14023,sesame,2926787,92
14024,hep,2926360,96
14025,duct,2926215,96
14026,touches,2925839,100
14027,seiko,2925303,92
14028,electromagnetic,2924335,84
14029,arial,2923926,84
14030,tos,2923407,96
14031,joanne,2923305,96
14032,housewife,2923262,96
14033,zoofilia,2923120,96
14034,hcl,2923056,96
14035,pursued,2922608,100
14036,validated,2922254,96
14037,lend,2922159,96
14038,sco,2921411,96
14039,corvette,2921384,96
14040,yachts,2921087,92
14041,stacy,2920975,92
14042,christie,2920964,96
14043,unrelated,2920624,84
14044,lois,2920500,96
14045,levi,2920122,96
14046,annotate,2919680,100
14047,stimulating,2919654,96
14048,mont,2918738,96
14049,joomla,2917932,96
14050,misuse,2917754,96
14051,helix,2917623,96
14052,cosmos,2917531,96
14053,speculation,2917411,92
14054,sx,2916799,96
14055,dixie,2915964,96
14056,pans,2915030,96
14057,enforced,2914992,100
14058,legion,2914980,96
14059,env,2914457,96
14060,fulfillment,2913791,96
14061,biomass,2913453,96
14062,assertion,2913342,96
14063,phs,2913107,96
14064,hierarchical,2912696,84
14065,lesions,2912486,92
14066,shook,2912323,100
14067,lincolnshire,2911684,96
14068,financed,2911356,96
14069,dismissal,2910830,96
14070,surnames,2910814,96
14071,mah,2910117,96
14072,reconditioned,2909215,100
14073,shocking,2909095,84
14074,allergic,2909018,84
14075,overland,2908996,92
14076,prolonged,2908792,100
14077,isaiah,2908650,96
14078,backbone,2907466,92
14079,rk,2906693,96
14080,abn,2905962,96
14081,unanimously,2905532,86
14082,eliminates,2905481,100
14083,sausage,2905016,92
14084,addict,2904815,96
14085,matte,2904014,92
14086,neighboring,2903678,92
14087,uncommon,2903451,84
14088,centralized,2903055,100
14089,stratford,2902995,96
14090,heidi,2902834,96
14091,melanie,2902469,96
14092,objections,2901389,92
14093,unpublished,2900993,84
14094,ames,2900944,96
14095,slaughter,2899936,96
14096,enlightenment,2899642,96
14097,pistol,2899525,96
14098,juniors,2898868,96
14099,rockets,2898235,100
14100,secunia,2898231,96
14101,metering,2898037,92
14102,seymour,2897791,92
14103,genetically,2897593,86
14104,zebra,2897588,96
14105,runway,2896976,96
14106,arithmetic,2896770,84
14107,supposedly,2896705,86
14108,admits,2896655,100
14109,bombay,2896551,96
14110,originals,2896277,92
14111,enrichment,2896222,100
14112,chennai,2896209,96
14113,milford,2896150,96
14114,buckle,2896052,96
14115,bartlett,2895564,96
14116,fetch,2895332,96
14117,kitchens,2895322,96
14118,ions,2894930,92
14119,asshole,2894800,85
14120,wat,2893326,96
14121,rey,2892996,96
14122,divers,2892868,100
14123,faroe,2892753,96
14124,townsend,2892727,92
14125,blackburn,2892087,96
14126,glendale,2891347,96
14127,speedway,2891286,96
14128,founders,2891148,96
14129,sweatshirts,2890978,92
14130,sundays,2890936,100
14131,upside,2890675,86
14132,admiral,2889969,96
14133,yay,2889841,96
14134,patron,2889348,96
14135,sandwiches,2889135,100
14136,sinclair,2888910,92
14137,boiler,2888724,92
14138,anticipate,2888206,96
14139,activex,2887944,96
14140,logon,2887648,96
14141,induce,2887566,96
14142,annapolis,2887111,96
14143,padding,2886390,92
14144,recruiter,2886210,96
14145,popcorn,2886162,96
14146,espanol,2885932,96
14147,disadvantaged,2885844,100
14148,trong,2884783,96
14149,diagonal,2884604,84
14150,unite,2884249,92
14151,cracked,2884236,100
14152,debtor,2884230,92
14153,polk,2883359,92
14154,mets,2882963,92
14155,niue,2882930,96
14156,ux,2882761,96
14157,shear,2882178,100
14158,mortal,2882154,84
14159,sovereignty,2881547,92
14160,supermarket,2880324,92
14161,franchises,2879707,92
14162,rams,2879663,92
14163,cleansing,2879219,100
14164,mfr,2879094,96
14165,boo,2878913,96
14166,hmmm,2878893,96
14167,genomic,2878856,96
14168,gown,2878121,96
14169,helpdesk,2877358,96
14170,ponds,2877167,92
14171,archery,2876913,96
14172,refuses,2876513,100
14173,excludes,2876354,100
14174,afb,2875818,96
14175,sabbath,2874936,96
14176,ruin,2874694,92
14177,trump,2874522,96
14178,nate,2874131,96
14179,escaped,2872180,100
14180,precursor,2871293,92
14181,mates,2870530,92
14182,adhd,2870388,96
14183,avian,2869360,96
14184,exe,2869301,96
14185,stella,2869298,96
14186,visas,2868835,96
14187,matrices,2868306,96
14188,anyways,2868259,86
14189,xtreme,2867867,96
14190,passages,2867858,100
14191,etiology,2867842,96
14192,vu,2867761,96
14193,cereal,2867588,92
14194,comprehension,2867051,92
14195,tcl,2866947,96
14196,sy,2866316,96
14197,tow,2865890,96
14198,resolving,2865841,96
14199,mellon,2865598,96
14200,drills,2865016,96
14201,webmd,2864943,96
14202,alexandra,2864525,96
14203,champ,2864316,96
14204,personalised,2863593,100
14205,hospice,2863534,96
14206,zerodegrees,2862863,92
14207,agreeing,2862469,100
14208,qos,2862362,92
14209,exhibitor,2862094,92
14210,rented,2862093,100
14211,deductions,2861982,92
14212,harrisburg,2861856,96
14213,brushed,2861828,100
14214,augmentation,2860399,96
14215,otto,2859784,96
14216,annuity,2859297,96
14217,assortment,2859183,96
14218,credible,2859116,84
14219,sportswear,2858295,96
14220,ik,2857258,96
14221,cultured,2857186,84
14222,importing,2856851,100
14223,deliberately,2856694,86
14224,recap,2856677,92
14225,openly,2856172,86
14226,toddlers,2855667,100
14227,astro,2855401,96
14228,crawl,2855243,96
14229,chanel,2854711,96
14230,theo,2854244,96
14231,sparkling,2853707,96
14232,jabber,2853615,96
14233,hgh,2853302,96
14234,bindings,2852879,92
14235,hx,2852127,90
14236,convincing,2852079,84
14237,rotate,2852012,84
14238,flaws,2851907,92
14239,este,2851762,92
14240,tracing,2850762,92
14241,deviations,2850529,92
14242,incomes,2849557,92
14243,fema,2849437,96
14244,subwoofer,2847991,100
14245,amortization,2847729,92
14246,neurology,2847595,92
14247,ack,2847118,92
14248,fragile,2846723,96
14249,jeremiah,2846655,96
14250,sapiens,2846220,96
14251,nyt,2844915,96
14252,olsen,2844826,96
14253,serbian,2844136,96
14254,radiator,2843529,92
14255,hai,2843140,96
14256,competencies,2842548,92
14257,restoring,2842501,100
14258,sanchez,2841268,92
14259,rushing,2841184,100
14260,behold,2840827,96
14261,amherst,2840266,96
14262,alteration,2840208,96
14263,hotspots,2840173,92
14264,trainee,2839804,96
14265,nielsen,2838668,96
14266,podcasting,2838531,100
14267,murdered,2838258,100
14268,centennial,2837610,96
14269,tuna,2837498,96
14270,bluegrass,2836629,96
14271,hazel,2836609,96
14272,wipe,2836584,96
14273,ledger,2836507,96
14274,scarlet,2835124,96
14275,crushed,2835074,100
14276,acronyms,2834316,96
14277,laughs,2833760,96
14278,connie,2833462,96
14279,autographed,2833049,100
14280,referendum,2833021,92
14281,modulation,2833002,92
14282,statues,2832217,100
14283,depths,2832054,92
14284,spices,2831536,92
14285,communion,2831327,92
14286,loader,2830929,92
14287,uncertainties,2830701,92
14288,colonies,2830387,92
14289,followers,2829471,92
14290,caldwell,2828329,100
14291,latency,2828099,96
14292,themed,2827606,96
14293,messy,2827245,96
14294,squadron,2826739,96
14295,bei,2826285,96
14296,dmc,2826087,96
14297,rupee,2825779,96
14298,ments,2825488,100
14299,subsidy,2825380,92
14300,demolition,2825325,96
14301,irene,2825285,96
14302,empowerment,2825171,92
14303,felony,2824856,92
14304,lungs,2823891,92
14305,monuments,2823564,92
14306,veronica,2823211,96
14307,filtered,2822882,100
14308,replacements,2822708,92
14309,growers,2822014,96
14310,vinci,2821809,96
14311,subtitles,2821776,100
14312,adj,2821246,96
14313,gcse,2821071,96
14314,haul,2820534,96
14315,acupuncture,2820529,96
14316,workload,2820441,92
14317,acknowledgement,2820437,92
14318,highlighting,2820342,100
14319,duly,2820117,86
14320,roasted,2819831,84
14321,tenders,2819753,92
14322,inviting,2819089,100
14323,rig,2818856,92
14324,ov,2818126,85
14325,grassroots,2818102,96
14326,mick,2817353,96
14327,gentoo,2816625,96
14328,redevelopment,2816145,96
14329,mustard,2815756,96
14330,strait,2815487,96
14331,masterpiece,2815486,96
14332,obey,2815296,96
14333,cellphone,2814699,92
14334,donkey,2814368,92
14335,sax,2814313,96
14336,jacks,2814273,96
14337,conceived,2813914,100
14338,triggered,2813708,100
14339,boasts,2813586,92
14340,praying,2813307,100
14341,oss,2812995,86
14342,multiply,2812978,86
14343,intercourse,2812451,92
14344,frontgate,2812288,92
14345,radial,2811433,84
14346,mare,2811067,96
14347,routinely,2811065,86
14348,instructed,2810464,100
14349,stole,2810420,92
14350,kirby,2810173,96
14351,armour,2809902,96
14352,summarized,2808957,100
14353,avalanche,2808877,96
14354,asc,2808778,96
14355,northampton,2808067,96
14356,uploading,2808051,100
14357,manuscripts,2807909,96
14358,managerial,2807733,96
14359,nsu,2807667,96
14360,cary,2806892,96
14361,celine,2806551,96
14362,exhibited,2806095,100
14363,disciples,2806006,92
14364,shaving,2805409,100
14365,finepix,2805050,96
14366,wks,2804991,96
14367,bishops,2804626,92
14368,kite,2804128,96
14369,destroying,2804115,100
14370,humorous,2803537,84
14371,tonnes,2803492,92
14372,hypermail,2803159,92
14373,thunderbird,2802921,92
14374,faa,2802643,96
14375,corona,2802552,96
14376,heap,2802302,96
14377,griffith,2801839,96
14378,investigative,2801261,84
14379,letras,2799335,92
14380,bylaws,2799031,92
14381,erection,2798670,92
14382,quasi,2798463,96
14383,wmv,2798286,96
14384,lao,2797992,96
14385,energetic,2797666,84
14386,disturbance,2797270,92
14387,saunders,2796791,92
14388,ribbons,2796682,92
14389,jew,2796621,96
14390,facesitting,2796342,100
14391,exile,2796116,92
14392,breastfeeding,2795731,100
14393,bilder,2795612,92
14394,reside,2794807,92
14395,mccartney,2794625,96
14396,anglo,2794593,96
14397,cashier,2794486,96
14398,kathryn,2794271,96
14399,jaw,2794165,96
14400,butterflies,2794097,96
14401,eats,2794093,100
14402,randomized,2793972,84
14403,knots,2793717,96
14404,flea,2793667,96
14405,motivational,2793520,84
14406,offences,2793475,92
14407,anton,2793239,96
14408,pals,2793188,96
14409,gratuite,2793122,96
14410,gerry,2792888,96
14411,celebrates,2791850,100
14412,hail,2791411,96
14413,armenian,2791251,96
14414,longitudinal,2791022,96
14415,historians,2790984,96
14416,realities,2790711,96
14417,kappa,2790613,96
14418,mentions,2790565,96
14419,samson,2790489,96
14420,neuroscience,2790185,96
14421,blender,2789797,96
14422,jumps,2789246,100
14423,fleming,2788928,100
14424,blaster,2788040,100
14425,optimistic,2787591,84
14426,remediation,2787390,92
14427,wasting,2787384,100
14428,decoder,2787168,84
14429,genocide,2787111,92
14430,acclaimed,2786992,100
14431,seldom,2786599,86
14432,heathrow,2786253,96
14433,indy,2784609,96
14434,morrow,2784392,96
14435,pantera,2784041,96
14436,glitter,2783775,96
14437,giovanni,2783154,96
14438,sidebar,2781569,96
14439,authored,2780907,100
14440,lasted,2780895,100
14441,snoop,2779510,92
14442,awhile,2779216,86
14443,winery,2779103,96
14444,rbi,2777294,96
14445,scaled,2777073,100
14446,contingency,2776554,92
14447,photon,2776028,96
14448,wiltshire,2775722,92
14449,vague,2775670,84
14450,overlay,2775058,92
14451,wraps,2774987,96
14452,constituents,2774838,100
14453,rusty,2774664,96
14454,pharma,2774295,96
14455,herd,2773319,96
14456,handicapped,2773263,100
14457,exported,2772517,100
14458,fayetteville,2772503,96
14459,lag,2772258,96
14460,champaign,2771883,96
14461,warns,2771556,100
14462,fyi,2771503,96
14463,xc,2771344,96
14464,pakistani,2770698,96
14465,harmless,2770499,96
14466,ics,2770381,96
14467,apa,2770366,96
14468,bitches,2770234,92
14469,sting,2769701,100
14470,urbana,2769609,85
14471,bravo,2769187,92
14472,believers,2769108,92
14473,diagnose,2768946,100
14474,secsg,2768915,96
14475,franco,2768845,96
14476,announcing,2768775,100
14477,dispersion,2768582,92
14478,curiosity,2767124,92
14479,trivium,2766790,92
14480,amature,2766008,92
14481,showroom,2765987,96
14482,cx,2765110,96
14483,swarovski,2764943,96
14484,resting,2764536,100
14485,missiles,2764176,92
14486,persistence,2763613,92
14487,coarse,2763471,84
14488,continents,2763227,92
14489,liter,2763192,100
14490,carpets,2763096,92
14491,recovering,2762857,100
14492,submarine,2762623,92
14493,akon,2762565,96
14494,blessings,2762538,92
14495,brendan,2761736,96
14496,prevailing,2761441,100
14497,originated,2761253,96
14498,axe,2760637,96
14499,condosaver,2759111,92
14500,sculptures,2759008,100
14501,amex,2758610,96
14502,intrinsic,2758434,84
14503,classicvacations,2757705,92
14504,blackpool,2757490,96
14505,thoughtful,2757419,84
14506,nicht,2756672,92
14507,archer,2755712,96
14508,hertfordshire,2755697,92
14509,fh,2755521,85
14510,inuyasha,2755060,96
14511,nominees,2754870,92
14512,warmer,2754313,84
14513,cuz,2753857,89
14514,viewsonic,2753211,84
14515,dryers,2753017,92
14516,calf,2752172,96
14517,fujifilm,2751529,96
14518,basil,2751303,96
14519,ams,2751273,96
14520,hallmark,2751209,96
14521,counterparts,2751143,92
14522,paced,2750959,100
14523,engl,2750688,96
14524,grouped,2750227,100
14525,dominate,2749527,96
14526,asians,2748981,96
14527,orient,2748810,96
14528,contra,2748407,96
14529,damaging,2747961,100
14530,populated,2747618,84
14531,seether,2747392,96
14532,renee,2747194,92
14533,boiling,2746984,92
14534,journeys,2746316,92
14535,milestones,2745974,96
14536,parkinson,2745910,96
14537,parsing,2745637,100
14538,splitting,2744999,84
14539,mclean,2744970,96
14540,derbyshire,2743455,92
14541,checkboxes,2743346,92
14542,abandon,2743113,100
14543,lobbying,2742839,100
14544,rave,2742668,92
14545,ej,2742550,85
14546,dy,2742473,96
14547,mgm,2742226,96
14548,cigars,2741585,96
14549,cinemas,2741548,92
14550,islander,2741057,96
14551,encoder,2741044,96
14552,nicolas,2740904,96
14553,inference,2740861,96
14554,ras,2740415,96
14555,recalled,2740304,100
14556,importers,2740154,92
14557,impressum,2739743,96
14558,transformer,2739646,100
14559,weiss,2739298,96
14560,declarations,2739125,92
14561,rib,2738920,96
14562,phe,2738637,96
14563,chattanooga,2738490,92
14564,giles,2738196,92
14565,maroon,2738171,96
14566,drafts,2737962,100
14567,excursions,2737962,96
14568,jerk,2737006,96
14569,kontakt,2736816,96
14570,shack,2736329,96
14571,ers,2736179,96
14572,marrow,2736145,96
14573,kawasaki,2736053,96
14574,licences,2735826,100
14575,bose,2735334,94
14576,tavern,2735235,84
14577,bathing,2735156,96
14578,lambert,2734565,96
14579,epilepsy,2734359,92
14580,allowances,2733855,100
14581,fountains,2733610,100
14582,goggles,2733320,92
14583,ses,2733306,96
14584,unhappy,2733054,84
14585,clones,2732616,96
14586,foregoing,2732095,100
14587,crossover,2731662,96
14588,situ,2730891,100
14589,specificity,2730888,96
14590,certainty,2730706,96
14591,sleek,2730547,96
14592,gerard,2730039,96
14593,runoff,2730000,96
14594,osteoporosis,2729151,92
14595,approvals,2728744,92
14596,antarctic,2728391,84
14597,ord,2728264,85
14598,successive,2728130,84
14599,neglected,2727465,100
14600,ariel,2727317,96
14601,bea,2727306,96
14602,monty,2727230,96
14603,cafes,2727168,96
14604,jukebox,2726567,96
14605,classmates,2726479,96
14606,hitch,2726438,100
14607,fracture,2725663,96
14608,ama,2725610,96
14609,nexus,2725531,92
14610,cancers,2725422,92
14611,foremost,2725369,84
14612,nineteenth,2725137,84
14613,chesapeake,2724458,96
14614,tango,2724411,96
14615,melting,2724327,100
14616,mahogany,2723996,96
14617,actresses,2723773,100
14618,clarence,2723225,96
14619,ernst,2722672,96
14620,garner,2722640,96
14621,buster,2722336,96
14622,moderated,2722309,100
14623,mal,2721212,96
14624,nassau,2721169,96
14625,flap,2720856,84
14626,ignorant,2720719,84
14627,aba,2720493,96
14628,allowable,2720378,84
14629,karate,2720367,96
14630,compositions,2720245,96
14631,sings,2719889,96
14632,marcos,2719327,96
14633,sorrow,2719241,96
14634,carte,2718992,96
14635,qb,2718237,96
14636,canned,2718146,100
14637,collects,2717979,100
14638,treaties,2717960,92
14639,endurance,2717063,92
14640,optimizing,2716515,100
14641,teaspoon,2716461,92
14642,switchfoot,2715971,96
14643,coldplay,2715850,96
14644,insulated,2715633,100
14645,dupont,2715369,96
14646,harriet,2715351,96
14647,philosopher,2715022,96
14648,rectangle,2714106,100
14649,woo,2713559,96
14650,queer,2712815,92
14651,pains,2712791,100
14652,vioxx,2712485,96
14653,decatur,2712455,96
14654,wrapper,2711762,92
14655,tty,2711522,96
14656,ahmed,2710841,96
14657,bsc,2710575,96
14658,buchanan,2710447,96
14659,drummer,2710364,92
14660,sobre,2710283,96
14661,celexa,2709862,92
14662,guitarist,2709708,100
14663,symmetric,2709558,84
14664,ceremonies,2709097,92
14665,satisfies,2708823,92
14666,kuala,2708138,96
14667,appellate,2707438,96
14668,comma,2706884,96
14669,bbb,2706582,96
14670,geeks,2706256,96
14671,conformity,2706075,96
14672,jg,2706006,96
14673,avant,2705776,96
14674,repec,2704965,96
14675,insightful,2704205,84
14676,supper,2703342,92
14677,fulfilling,2703064,100
14678,hooded,2702959,100
14679,unrated,2702252,84
14680,diva,2702054,92
14681,adsense,2701598,92
14682,instability,2700670,92
14683,seminary,2700656,96
14684,exemptions,2700555,92
14685,integrates,2700129,100
14686,presenter,2699888,96
14687,csa,2699793,96
14688,offenses,2699538,100
14689,emulation,2699087,96
14690,lengthy,2699016,84
14691,sonata,2698960,92
14692,fortress,2698779,92
14693,contiguous,2698722,84
14694,bookstores,2698710,92
14695,perez,2698494,96
14696,cimel,2698224,100
14697,inaccurate,2696984,96
14698,hvac,2696829,96
14699,explanatory,2695657,96
14700,leica,2695340,96
14701,settlers,2693801,92
14702,stools,2693672,96
14703,ministerial,2693657,96
14704,xavier,2692085,96
14705,agendas,2691906,96
14706,torah,2691440,96
14707,fao,2690265,96
14708,publishes,2690034,100
14709,stacks,2689624,92
14710,owning,2688694,100
14711,nws,2688514,96
14712,andersen,2688161,96
14713,busch,2688086,96
14714,armani,2687888,96
14715,bipolar,2687706,96
14716,sermon,2687091,96
14717,facilitating,2687059,92
14718,complained,2686740,100
14719,ferdinand,2686458,92
14720,taps,2686393,92
14721,thrill,2686142,92
14722,lagoon,2685626,96
14723,undoubtedly,2684676,86
14724,menopause,2684269,96
14725,inbound,2684041,96
14726,withheld,2683567,96
14727,insisted,2683343,100
14728,shortlist,2683280,96
14729,gainesville,2683280,96
14730,tiava,2683162,96
14731,eclectic,2683009,84
14732,reluctant,2682859,84
14733,headphone,2682846,92
14734,regimes,2682551,92
14735,headaches,2682391,92
14736,ramsey,2682275,96
14737,oath,2681530,96
14738,readme,2681483,96
14739,pigeon,2681453,96
14740,rivals,2681393,100
14741,freed,2681202,100
14742,binder,2681029,96
14743,xemacs,2679735,96
14744,constrained,2679629,100
14745,parrot,2679395,96
14746,magnum,2679312,96
14747,invoked,2679305,100
14748,invaluable,2679261,84
14749,helicopters,2678843,92
14750,keystone,2678762,100
14751,inclined,2678667,100
14752,ngc,2678438,96
14753,gala,2678335,96
14754,intercontinental,2678215,96
14755,cheek,2678063,96
14756,traction,2677904,92
14757,utterly,2677645,86
14758,workspace,2677252,96
14759,customizable,2677237,84
14760,softcover,2676623,96
14761,gavin,2676572,96
14762,illuminated,2675862,100
14763,realtime,2675781,92
14764,lasts,2674708,100
14765,gloucestershire,2674351,100
14766,electrons,2673739,92
14767,psychologist,2673628,92
14768,dane,2673527,92
14769,claudia,2673288,96
14770,perpetual,2673094,96
14771,subsystem,2672819,96
14772,appl,2671585,92
14773,kinetic,2671225,96
14774,caffeine,2670925,92
14775,solicitor,2669901,92
14776,clustering,2669822,100
14777,xf,2669693,96
14778,glimpse,2669654,96
14779,nib,2669040,96
14780,verbatim,2668745,96
14781,innocence,2668275,92
14782,httpd,2668011,100
14783,quicker,2667892,84
14784,grandparents,2667872,92
14785,cardboard,2667228,86
14786,attributable,2667183,84
14787,sketches,2666877,92
